OCI-Ly1_DMSO_rep1	OCI-Ly1_DMSO_rep2	OCI-Ly1_DMSO_rep3	OCI-Ly1_JIB04_150nM_rep1	OCI-Ly1_JIB04_150nM_rep2	OCI-Ly1_JIB04_150nM_rep3	OCI-Ly1_JIB04_500nM_rep1	OCI-Ly1_JIB04_500nM_rep2	OCI-Ly1_JIB04_500nM_rep3
ADAR	12153.098	8091.229	11352.132	12058.058	11005.3263	8826.5583	15923.307	11732.153	14039.58
ADARB1	39.91914	21.32093	44.05123	47.2104	41.52872	36.0145	133.03465	58.8448	101.8814
ADARB2	42.8978	24.1507	44.463	32.7982	20.2217	29.6141	28.4977	32.3935	33.6998
ADARB2-AS1	15	10	8	17	8	5	18	8	5
ADAT1	2137.645	1425.74	1978.771	1985.738	1969.177	1411.4481	2544.15	2037.543	2373.71
ADAT2	1086.37	693.564	1047.56	1007.61	1090.81	808.603	1254.66	1068.06	1203.58
ADAT3	93.3021	60	72	82	77	54.5595	107	79	85
ADC	1	0	3	8	6	4	42	24	17
ADCK1	196.9998	105.0000000141	143.9999	165.0005	129	106	240.9998	194.0005	241.0001
ADCK2	1926	1255	1659	1920	1667	1160	2800	2075	2350
ADCK3	966	651	782	874	844	611	1565	1241	1454
ADCK4	886	575	738	791	744	508	937	726	805
ADCK5	424	298	417	440	402	240	636	561	575
ADCY1	65.2701	41.5692	76.6888	85.48	50.9632	51.9844	89.9206	60.427	73.9018
ADCY10	6	2	10.99996601	6	10	5	8	1	9
ADCY10P1	67.0593	49.6109	71.4097	87.2026	77.1748	79.4604	146.327	101.741	164.342
ADCY2	44.456	54.2985	65.3916	61.2102	64.4098	39.2075	54.3201	38.1545	65.2379
ADCY3	2377.43	1622.91	2066.87	2259.7	2041.15	1552.49	2862.12	2237.43	2721.95
ADCY4	15	6	10	14	18	7	43.0000367619	30.00004	48.00003
ADCY5	2	0	1	4	2	1	13	12	9
ADCY6	36.3072	17.3953	39.4795	43.9856	41.1687	34.8284	38.7892	41.0051	25.6511
ADCY7	1398	894	1255	1291	1238	945	1916	1534	1745
ADCY8	1	0	0	0	0	0	5	0	0
ADCY9	175	96	152	171	161	138	368	309	326
ADCYAP1	0	0	0	0	0	0	0	0	0
ADCYAP1R1	11.3809670628	6.0647154599	14.6958895409	6.1252812685	4.2218878044	16.690695766	16.2912998333	8.3215392784	12.3139926745
ADD1	2416.9971	1599.9948	2259.99608	2306.996	2135.9975	1588.0001	2345.0004	1933.99861	2181.9987
ADD2	0	0	0	0	1	1	9	3	4
ADD3	6109.682	4266.8631	6718.753	6277.848	6893.981	5621.79	12560.497	9443.628	10772.624
ADGB	0	0	0	0	0	0	0	0	0
ADH1A	3	0	0	0	0	0	0	0	0
ADH1B	0	0	0	0	1	0	0	0	0
ADH1C	0	0	0	0	0	0	0	0	0
